Technology,Scenario,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Geothermal - Deep EGS / Binary,Advanced,"$19,757","$16,487","$14,303","$12,719","$11,505","$10,538","$9,745","$9,080","$8,513","$8,021","$7,589","$7,207","$6,864","$6,556","$6,524","$6,492","$6,460","$6,429","$6,397","$6,366","$6,335","$6,304","$6,273","$6,242","$6,212","$6,181","$6,151","$6,121","$6,091"
Geothermal - Deep EGS / Binary,Moderate,"$19,757","$17,883","$16,584","$15,603","$14,820","$14,173","$13,623","$13,146","$12,726","$12,352","$12,013","$11,706","$11,423","$11,163","$11,108","$11,053","$10,998","$10,944","$10,890","$10,836","$10,782","$10,729","$10,676","$10,624","$10,571","$10,519","$10,467","$10,415","$10,364"
Geothermal - Deep EGS / Binary,Conservative,"$19,757","$19,659","$19,562","$19,465","$19,368","$19,272","$19,176","$19,081","$18,987","$18,892","$18,799","$18,705","$18,612","$18,520","$18,428","$18,337","$18,246","$18,155","$18,065","$17,976","$17,887","$17,798","$17,710","$17,622","$17,534","$17,447","$17,361","$17,275","$17,189"
Hydropower - NPD 1,Advanced,"$3,241","$3,241","$3,241","$3,241","$3,209","$3,176","$3,144","$3,111","$3,080","$3,052","$3,024","$2,995","$2,968","$2,940","$2,912","$2,885","$2,856","$2,828","$2,801","$2,801","$2,801","$2,801","$2,801","$2,801","$2,801","$2,801","$2,801","$2,801","$2,801"
Hydropower - NPD 1,Moderate,"$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241"
Hydropower - NPD 1,Conservative,"$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,241","$3,111","$3,111","$3,111","$3,111","$3,111","$3,111","$3,111","$3,111","$3,111","$3,111","$3,111"
Hydropower - NPD 2,Advanced,"$6,357","$6,357","$6,357","$6,357","$5,734","$5,112","$4,489","$3,866","$3,193","$3,160","$3,133","$3,105","$3,076","$3,049","$3,021","$2,993","$2,966","$2,937","$2,909","$2,900","$2,900","$2,900","$2,900","$2,900","$2,900","$2,900","$2,900","$2,900","$2,900"
Hydropower - NPD 2,Moderate,"$6,357","$6,357","$6,357","$6,357","$6,062","$5,767","$5,472","$5,178","$9,150","$8,591","$8,033","$7,475","$6,916","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357"
Hydropower - NPD 2,Conservative,"$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$6,357","$3,356","$3,356","$3,356","$3,356","$3,356","$3,356","$3,356","$3,356","$3,356","$3,356","$3,226","$3,222","$3,222","$3,222","$3,222","$3,222","$3,222","$3,222","$3,222","$3,222","$3,222"
Hydropower - NPD 3,Advanced,"$6,488","$6,488","$6,488","$6,488","$5,900","$5,314","$4,726","$4,139","$3,519","$3,483","$3,452","$3,421","$3,390","$3,358","$3,328","$3,297","$3,266","$3,235","$3,203","$3,196","$3,196","$3,196","$3,196","$3,196","$3,196","$3,196","$3,196","$3,196","$3,196"
Hydropower - NPD 3,Moderate,"$6,488","$6,488","$6,488","$6,488","$6,212","$5,938","$5,662","$5,386","$8,903","$8,420","$7,937","$7,455","$6,971","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488"
Hydropower - NPD 3,Conservative,"$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$6,488","$3,699","$3,699","$3,699","$3,699","$3,699","$3,699","$3,699","$3,699","$3,699","$3,699","$3,555","$3,551","$3,551","$3,551","$3,551","$3,551","$3,551","$3,551","$3,551","$3,551","$3,551"
Hydropower - NPD 4,Advanced,"$14,240","$14,240","$14,240","$14,240","$13,094","$11,950","$10,804","$9,660","$8,466","$8,384","$8,308","$8,233","$8,157","$8,082","$8,006","$7,931","$7,856","$7,780","$7,705","$7,693","$7,693","$7,693","$7,693","$7,693","$7,693","$7,693","$7,693","$7,693","$7,693"
Hydropower - NPD 4,Moderate,"$14,240","$14,240","$14,240","$14,240","$13,710","$13,182","$12,655","$12,125","$18,463","$17,618","$16,773","$15,929","$15,084","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240"
Hydropower - NPD 4,Conservative,"$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$14,240","$8,904","$8,904","$8,904","$8,904","$8,904","$8,904","$8,904","$8,904","$8,904","$8,904","$8,554","$8,549","$8,549","$8,549","$8,549","$8,549","$8,549","$8,549","$8,549","$8,549","$8,549"
Hydropower - NPD 5,Advanced,"$5,220","$5,220","$5,220","$5,220","$5,309","$5,398","$5,486","$5,576","$5,667","$5,620","$5,569","$5,518","$5,468","$5,417","$5,367","$5,316","$5,266","$5,215","$5,164","$5,157","$5,157","$5,157","$5,157","$5,157","$5,157","$5,157","$5,157","$5,157","$5,157"
Hydropower - NPD 5,Moderate,"$5,220","$5,220","$5,220","$5,220","$5,294","$5,368","$5,442","$5,515","$4,898","$4,962","$5,026","$5,091","$5,155","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220"
Hydropower - NPD 5,Conservative,"$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,220","$5,962","$5,970","$5,970","$5,970","$5,970","$5,970","$5,970","$5,970","$5,970","$5,970","$5,733","$5,730","$5,730","$5,730","$5,730","$5,730","$5,730","$5,730","$5,730","$5,730","$5,730"
Hydropower - NPD 6,Advanced,"$7,859","$7,859","$7,859","$7,859","$7,994","$8,128","$8,262","$8,397","$8,534","$8,460","$8,384","$8,308","$8,232","$8,155","$8,078","$8,002","$7,925","$7,848","$7,772","$7,765","$7,765","$7,765","$7,765","$7,765","$7,765","$7,765","$7,765","$7,765","$7,765"
Hydropower - NPD 6,Moderate,"$7,859","$7,859","$7,859","$7,859","$7,971","$8,083","$8,194","$8,306","$7,372","$7,468","$7,566","$7,664","$7,762","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859"
Hydropower - NPD 6,Conservative,"$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$7,859","$8,980","$8,987","$8,987","$8,987","$8,987","$8,987","$8,987","$8,987","$8,987","$8,987","$8,631","$8,628","$8,628","$8,628","$8,628","$8,628","$8,628","$8,628","$8,628","$8,628","$8,628"
Hydropower - NPD 7,Advanced,"$15,797","$15,797","$15,797","$15,797","$15,269","$14,742","$14,214","$13,686","$13,158","$13,024","$12,905","$12,787","$12,668","$12,550","$12,432","$12,314","$12,196","$12,078","$11,959","$11,952","$11,952","$11,952","$11,952","$11,952","$11,952","$11,952","$11,952","$11,952","$11,952"
Hydropower - NPD 7,Moderate,"$15,797","$15,797","$15,797","$15,797","$15,602","$15,407","$15,211","$15,017","$16,911","$16,689","$16,465","$16,243","$16,020","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797"
Hydropower - NPD 7,Conservative,"$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$15,797","$13,846","$13,834","$13,834","$13,834","$13,834","$13,834","$13,834","$13,834","$13,834","$13,834","$13,284","$13,280","$13,280","$13,280","$13,280","$13,280","$13,280","$13,280","$13,280","$13,280","$13,280"
Hydropower - NPD 8,Advanced,"$21,498","$21,498","$21,498","$21,498","$21,187","$20,878","$20,568","$20,258","$19,945","$19,758","$19,579","$19,399","$19,220","$19,041","$18,863","$18,683","$18,504","$18,325","$18,146","$18,132","$18,132","$18,132","$18,132","$18,132","$18,132","$18,132","$18,132","$18,132","$18,132"
Hydropower - NPD 8,Moderate,"$21,498","$21,498","$21,498","$21,498","$21,447","$21,396","$21,345","$21,295","$21,758","$21,706","$21,654","$21,601","$21,550","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498"
Hydropower - NPD 8,Conservative,"$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$21,498","$20,986","$20,986","$20,986","$20,986","$20,986","$20,986","$20,986","$20,986","$20,986","$20,986","$20,154","$20,147","$20,147","$20,147","$20,147","$20,147","$20,147","$20,147","$20,147","$20,147","$20,147"
Hydropower - NSD 1,Advanced,"$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005","$9,005"
Hydropower - NSD 1,Moderate,"$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234","$9,234"
Hydropower - NSD 1,Conservative,"$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281","$9,281"
Hydropower - NSD 2,Advanced,"$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052","$8,052"
Hydropower - NSD 2,Moderate,"$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256","$8,256"
Hydropower - NSD 2,Conservative,"$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298","$8,298"
Hydropower - NSD 3,Advanced,"$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889","$7,889"
Hydropower - NSD 3,Moderate,"$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088","$8,088"
Hydropower - NSD 3,Conservative,"$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129","$8,129"
Hydropower - NSD 4,Advanced,"$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113","$7,113"
Hydropower - NSD 4,Moderate,"$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293","$7,293"
Hydropower - NSD 4,Conservative,"$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330","$7,330"
Utility-Scale Battery Storage - 2Hr,Advanced,"$1,290","$1,278","$1,073",$868,$836,$803,$771,$739,$706,$695,$685,$675,$664,$653,$643,$632,$622,$611,$601,$590,$579,$568,$558,$548,$537,$526,$516,$506,$494
Utility-Scale Battery Storage - 2Hr,Moderate,"$1,290","$1,278","$1,201","$1,069","$1,043","$1,018",$993,$967,$942,$930,$919,$907,$896,$884,$873,$861,$850,$838,$826,$815,$803,$792,$780,$768,$757,$745,$733,$722,$710
Utility-Scale Battery Storage - 2Hr,Conservative,"$1,290","$1,278","$1,343","$1,326","$1,284","$1,241","$1,199","$1,157","$1,114","$1,108","$1,101","$1,094","$1,087","$1,080","$1,073","$1,066","$1,059","$1,052","$1,045","$1,038","$1,031","$1,024","$1,018","$1,011","$1,004",$997,$990,$983,$976
Utility-Scale Battery Storage - 4Hr,Advanced,"$2,101","$2,080","$1,736","$1,391","$1,336","$1,281","$1,227","$1,172","$1,118","$1,100","$1,082","$1,064","$1,046","$1,029","$1,011",$993,$975,$958,$940,$922,$904,$886,$869,$851,$833,$815,$798,$780,$762
Utility-Scale Battery Storage - 4Hr,Moderate,"$2,101","$2,080","$1,938","$1,711","$1,659","$1,607","$1,555","$1,503","$1,451","$1,431","$1,410","$1,389","$1,368","$1,347","$1,327","$1,306","$1,285","$1,264","$1,243","$1,223","$1,202","$1,181","$1,160","$1,140","$1,119","$1,098","$1,077","$1,057","$1,036"
Utility-Scale Battery Storage - 4Hr,Conservative,"$2,101","$2,080","$2,190","$2,160","$2,083","$2,006","$1,929","$1,852","$1,775","$1,763","$1,752","$1,741","$1,729","$1,718","$1,706","$1,695","$1,683","$1,672","$1,660","$1,649","$1,638","$1,626","$1,615","$1,603","$1,592","$1,580","$1,569","$1,558","$1,546"
Utility-Scale Battery Storage - 6Hr,Advanced,"$2,911","$2,882","$2,398","$1,914","$1,836","$1,760","$1,682","$1,605","$1,529","$1,504","$1,479","$1,454","$1,429","$1,405","$1,379","$1,354","$1,329","$1,304","$1,279","$1,254","$1,230","$1,205","$1,179","$1,154","$1,129","$1,104","$1,079","$1,054","$1,030"
Utility-Scale Battery Storage - 6Hr,Moderate,"$2,911","$2,882","$2,676","$2,354","$2,275","$2,197","$2,118","$2,039","$1,961","$1,931","$1,901","$1,871","$1,840","$1,810","$1,780","$1,750","$1,720","$1,690","$1,661","$1,631","$1,601","$1,571","$1,541","$1,511","$1,481","$1,451","$1,421","$1,392","$1,362"
Utility-Scale Battery Storage - 6Hr,Conservative,"$2,911","$2,882","$3,036","$2,994","$2,882","$2,770","$2,659","$2,547","$2,435","$2,419","$2,403","$2,387","$2,372","$2,356","$2,340","$2,324","$2,308","$2,292","$2,276","$2,260","$2,244","$2,228","$2,212","$2,196","$2,180","$2,164","$2,148","$2,132","$2,116"
Utility-Scale Battery Storage - 8Hr,Advanced,"$3,722","$3,685","$3,060","$2,436","$2,337","$2,238","$2,138","$2,039","$1,941","$1,909","$1,877","$1,843","$1,811","$1,781","$1,747","$1,715","$1,683","$1,651","$1,618","$1,586","$1,555","$1,523","$1,490","$1,458","$1,426","$1,393","$1,360","$1,328","$1,297"
Utility-Scale Battery Storage - 8Hr,Moderate,"$3,722","$3,685","$3,413","$2,996","$2,891","$2,786","$2,681","$2,576","$2,470","$2,431","$2,391","$2,352","$2,313","$2,274","$2,234","$2,195","$2,156","$2,117","$2,078","$2,038","$1,999","$1,960","$1,921","$1,882","$1,843","$1,804","$1,765","$1,727","$1,688"
Utility-Scale Battery Storage - 8Hr,Conservative,"$3,722","$3,685","$3,882","$3,828","$3,681","$3,535","$3,388","$3,242","$3,096","$3,075","$3,055","$3,034","$3,014","$2,993","$2,973","$2,952","$2,932","$2,911","$2,891","$2,870","$2,850","$2,829","$2,809","$2,789","$2,768","$2,748","$2,727","$2,707","$2,686"
Utility-Scale Battery Storage - 10Hr,Advanced,"$4,532","$4,487","$3,722","$2,959","$2,837","$2,716","$2,594","$2,472","$2,352","$2,313","$2,274","$2,233","$2,193","$2,156","$2,115","$2,076","$2,037","$1,998","$1,957","$1,917","$1,880","$1,841","$1,800","$1,761","$1,722","$1,683","$1,641","$1,602","$1,565"
Utility-Scale Battery Storage - 10Hr,Moderate,"$4,532","$4,487","$4,151","$3,639","$3,507","$3,376","$3,244","$3,112","$2,979","$2,931","$2,882","$2,834","$2,785","$2,737","$2,688","$2,640","$2,591","$2,543","$2,495","$2,446","$2,398","$2,350","$2,302","$2,254","$2,205","$2,157","$2,109","$2,062","$2,014"
Utility-Scale Battery Storage - 10Hr,Conservative,"$4,532","$4,487","$4,729","$4,662","$4,481","$4,299","$4,118","$3,937","$3,756","$3,731","$3,706","$3,681","$3,656","$3,631","$3,606","$3,581","$3,556","$3,531","$3,506","$3,481","$3,456","$3,431","$3,406","$3,381","$3,356","$3,331","$3,306","$3,281","$3,256"
Commercial Battery Storage 1Hr,Advanced,"$1,450","$1,679","$1,154",$969,$934,$899,$864,$830,$795,$780,$765,$750,$735,$720,$705,$690,$675,$660,$645,$630,$615,$600,$585,$570,$556,$541,$526,$511,$496
Commercial Battery Storage 1Hr,Moderate,"$1,450","$1,679","$1,304","$1,249","$1,207","$1,166","$1,128","$1,093","$1,060","$1,047","$1,033","$1,020","$1,007",$994,$980,$967,$954,$941,$927,$914,$901,$888,$874,$861,$848,$835,$821,$808,$795
Commercial Battery Storage 1Hr,Conservative,"$1,450","$1,679","$1,571","$1,548","$1,490","$1,433","$1,375","$1,317","$1,259","$1,255","$1,252","$1,248","$1,244","$1,241","$1,237","$1,234","$1,230","$1,226","$1,223","$1,219","$1,216","$1,212","$1,208","$1,205","$1,201","$1,198","$1,194","$1,190","$1,187"
Commercial Battery Storage 2Hr,Advanced,"$1,735","$2,030","$1,416","$1,160","$1,118","$1,076","$1,035",$993,$951,$933,$915,$897,$880,$862,$844,$826,$808,$790,$772,$754,$736,$719,$701,$683,$665,$647,$629,$611,$593
Commercial Battery Storage 2Hr,Moderate,"$1,735","$2,030","$1,549","$1,483","$1,428","$1,375","$1,326","$1,282","$1,240","$1,224","$1,209","$1,193","$1,178","$1,162","$1,147","$1,131","$1,116","$1,100","$1,085","$1,069","$1,054","$1,038","$1,023","$1,007",$992,$976,$961,$945,$930
Commercial Battery Storage 2Hr,Conservative,"$1,735","$2,030","$1,880","$1,853","$1,784","$1,715","$1,645","$1,576","$1,507","$1,502","$1,498","$1,494","$1,489","$1,485","$1,481","$1,477","$1,472","$1,468","$1,464","$1,459","$1,455","$1,451","$1,446","$1,442","$1,438","$1,434","$1,429","$1,425","$1,421"
Commercial Battery Storage 4Hr,Advanced,"$2,306","$2,733","$1,939","$1,542","$1,486","$1,431","$1,375","$1,320","$1,264","$1,240","$1,217","$1,193","$1,169","$1,145","$1,121","$1,098","$1,074","$1,050","$1,026","$1,003",$979,$955,$931,$907,$884,$860,$836,$812,$789
Commercial Battery Storage 4Hr,Moderate,"$2,306","$2,733","$2,040","$1,950","$1,870","$1,794","$1,724","$1,660","$1,600","$1,580","$1,560","$1,540","$1,520","$1,500","$1,480","$1,460","$1,440","$1,420","$1,400","$1,380","$1,360","$1,340","$1,320","$1,300","$1,280","$1,260","$1,240","$1,220","$1,200"
Commercial Battery Storage 4Hr,Conservative,"$2,306","$2,733","$2,499","$2,463","$2,371","$2,279","$2,187","$2,095","$2,003","$1,997","$1,991","$1,985","$1,980","$1,974","$1,968","$1,962","$1,957","$1,951","$1,945","$1,940","$1,934","$1,928","$1,922","$1,917","$1,911","$1,905","$1,900","$1,894","$1,888"
Commercial Battery Storage 6Hr,Advanced,"$2,877","$3,436","$2,462","$1,924","$1,854","$1,785","$1,716","$1,646","$1,577","$1,547","$1,518","$1,488","$1,458","$1,429","$1,399","$1,369","$1,340","$1,310","$1,280","$1,251","$1,221","$1,191","$1,162","$1,132","$1,103","$1,073","$1,043","$1,014",$984
Commercial Battery Storage 6Hr,Moderate,"$2,877","$3,436","$2,532","$2,418","$2,312","$2,213","$2,121","$2,038","$1,960","$1,935","$1,911","$1,886","$1,862","$1,837","$1,813","$1,788","$1,764","$1,739","$1,715","$1,690","$1,666","$1,641","$1,617","$1,592","$1,568","$1,543","$1,519","$1,494","$1,470"
Commercial Battery Storage 6Hr,Conservative,"$2,877","$3,436","$3,117","$3,073","$2,958","$2,843","$2,728","$2,613","$2,498","$2,491","$2,484","$2,477","$2,470","$2,463","$2,456","$2,448","$2,441","$2,434","$2,427","$2,420","$2,413","$2,406","$2,398","$2,391","$2,384","$2,377","$2,370","$2,363","$2,356"
Commercial Battery Storage 8Hr,Advanced,"$3,448","$4,139","$2,984","$2,305","$2,222","$2,139","$2,056","$1,973","$1,890","$1,854","$1,819","$1,783","$1,748","$1,712","$1,677","$1,641","$1,606","$1,570","$1,535","$1,499","$1,463","$1,428","$1,392","$1,357","$1,321","$1,286","$1,250","$1,215","$1,179"
Commercial Battery Storage 8Hr,Moderate,"$3,448","$4,139","$3,023","$2,886","$2,754","$2,631","$2,518","$2,415","$2,320","$2,291","$2,262","$2,233","$2,204","$2,175","$2,146","$2,117","$2,088","$2,059","$2,030","$2,001","$1,972","$1,943","$1,914","$1,885","$1,856","$1,827","$1,798","$1,769","$1,740"
Commercial Battery Storage 8Hr,Conservative,"$3,448","$4,139","$3,736","$3,683","$3,545","$3,407","$3,270","$3,132","$2,994","$2,986","$2,977","$2,968","$2,960","$2,951","$2,943","$2,934","$2,926","$2,917","$2,909","$2,900","$2,892","$2,883","$2,874","$2,866","$2,857","$2,849","$2,840","$2,832","$2,823"
Residential Battery Storage - 5 kW - 12.5 kWh,Advanced,"$4,003","$2,880","$2,718","$2,580","$2,487","$2,394","$2,301","$2,208","$2,115","$2,075","$2,036","$1,996","$1,956","$1,916","$1,877","$1,837","$1,797","$1,757","$1,717","$1,678","$1,638","$1,598","$1,558","$1,519","$1,479","$1,439","$1,399","$1,359","$1,320"
Residential Battery Storage - 5 kW - 12.5 kWh,Moderate,"$4,003","$3,788","$3,592","$3,410","$3,306","$3,212","$3,130","$3,049","$2,976","$2,939","$2,902","$2,865","$2,827","$2,790","$2,753","$2,716","$2,679","$2,641","$2,604","$2,567","$2,530","$2,493","$2,455","$2,418","$2,381","$2,344","$2,307","$2,269","$2,232"
Residential Battery Storage - 5 kW - 12.5 kWh,Conservative,"$4,003","$4,152","$4,181","$4,122","$3,968","$3,814","$3,659","$3,505","$3,351","$3,341","$3,332","$3,322","$3,313","$3,303","$3,294","$3,284","$3,274","$3,265","$3,255","$3,246","$3,236","$3,227","$3,217","$3,207","$3,198","$3,188","$3,179","$3,169","$3,160"
Residential Battery Storage - 5 kW - 20 kWh,Advanced,"$4,971","$3,576","$3,375","$3,204","$3,088","$2,973","$2,857","$2,742","$2,627","$2,577","$2,528","$2,478","$2,429","$2,380","$2,330","$2,281","$2,231","$2,182","$2,133","$2,083","$2,034","$1,984","$1,935","$1,886","$1,836","$1,787","$1,737","$1,688","$1,639"
Residential Battery Storage - 5 kW - 20 kWh,Moderate,"$4,971","$4,675","$4,401","$4,144","$4,004","$3,879","$3,770","$3,664","$3,569","$3,524","$3,479","$3,435","$3,390","$3,345","$3,301","$3,256","$3,212","$3,167","$3,122","$3,078","$3,033","$2,989","$2,944","$2,899","$2,855","$2,810","$2,766","$2,721","$2,676"
Residential Battery Storage - 5 kW - 20 kWh,Conservative,"$4,971","$5,155","$5,192","$5,118","$4,927","$4,735","$4,544","$4,352","$4,161","$4,149","$4,137","$4,125","$4,113","$4,102","$4,090","$4,078","$4,066","$4,054","$4,042","$4,030","$4,018","$4,006","$3,995","$3,983","$3,971","$3,959","$3,947","$3,935","$3,923"
Biopower - Dedicated,Advanced,"$5,528","$5,341","$5,154","$5,006","$4,915","$4,867","$4,835","$4,806","$4,778","$4,742","$4,708","$4,680","$4,651","$4,623","$4,590","$4,558","$4,528","$4,493","$4,463","$4,436","$4,405","$4,376","$4,346","$4,314","$4,282","$4,252","$4,220","$4,186","$4,135"
Biopower - Dedicated,Moderate,"$5,528","$5,341","$5,154","$5,006","$4,915","$4,867","$4,835","$4,806","$4,778","$4,742","$4,708","$4,680","$4,651","$4,623","$4,590","$4,558","$4,528","$4,493","$4,463","$4,436","$4,405","$4,376","$4,346","$4,314","$4,282","$4,252","$4,220","$4,186","$4,135"
Biopower - Dedicated,Conservative,"$5,528","$5,341","$5,154","$5,006","$4,915","$4,867","$4,835","$4,806","$4,778","$4,742","$4,708","$4,680","$4,651","$4,623","$4,590","$4,558","$4,528","$4,493","$4,463","$4,436","$4,405","$4,376","$4,346","$4,314","$4,282","$4,252","$4,220","$4,186","$4,135"
