TechName,*TechDesc,Comm-IN,Comm-OUT,Year,Start,LIFE,AFA,AFA~LO,CAP2ACT,EFF,EFF~2020,EFF~2025,EFF~2030,EFF~2035,EFF~2040,EFF~2045,EFF~2050,EFF~2055,EFF~2060,INVCOST,INVCOST~2020,INVCOST~2025,INVCOST~2030,INVCOST~2035,INVCOST~2040,INVCOST~2045,INVCOST~2050,INVCOST~2055,INVCOST~2060,FLO_MARK,FLO_MARK~2050,FLO_MARK~0,FLO_DELIV
REFI-MoTP-Stat-PET-st_ngn,"New Refining - Motive Power, Stationary  - Petrol",INDPET,REFI-MoTP-Stat,2018,2020,15,0.5,0.35,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,0,,,
REFI-MoTP-Stat-ELC-Motor,"New Refining - Motive Power, Stationary  - Electricity",INDELC,REFI-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,,,
REFI-MoTP-Stat-DSL-st_ngn,"New Refining - Motive Power, Stationary  - Diesel",INDDSL,REFI-MoTP-Stat,2018,2020,20,0.5,0.35,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,0,,,
REFI-MoTP-Stat-ELC-VSD-Mtr,"New Refining - Motive Power, Stationary  - Electricity",INDELC,REFI-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,,5,
REFI-PH-FURN-ELC-Furn,New Refining - Process Heat: Furnace/Kiln  - Electricity,INDELC,REFI-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,,,,
REFI-PH-FURN-COA-Furn,New Refining - Process Heat: Furnace/Kiln  - Coal,INDCOA,REFI-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0,,5,
REFI-PH-FURN-NGA-Furn,New Refining - Process Heat: Furnace/Kiln  - Natural Gas,INDNGA,REFI-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.56,,5,
REFI-PH-FURN-WOD-Furn,New Refining - Process Heat: Furnace/Kiln  - Wood,INDWOD,REFI-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0.24,,5,
REFI-PH-FURN-LPG-Furn,New Refining - Process Heat: Furnace/Kiln  - LPG,INDLPG,REFI-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.07,,5,
REFI-PH-STM_HW-NGA-Boiler,New Refining - Process Heat: Steam/Hot Water  - Natural Gas,INDNGA,REFI-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,0.2,,5,
REFI-PH-STM_HW-DSL-Boiler,New Refining - Process Heat: Steam/Hot Water  - Diesel,INDDSL,REFI-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,,,,
REFI-PH-STM_HW-ELC-HPmp,New Refining - Process Heat: Steam/Hot Water  - Electricity,INDELC,REFI-PH-STM_HW,2018,2020,20,0.5,0.35,31.536,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,0,,5,
REFI-PH-STM_HW-COA-Boiler,New Refining - Process Heat: Steam/Hot Water  - Coal,INDCOA,REFI-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
REFI-PH-STM_HW-LPG-Boiler,New Refining - Process Heat: Steam/Hot Water  - LPG,INDLPG,REFI-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,,,,
REFI-PH-STM_HW-WOD-Boiler,New Refining - Process Heat: Steam/Hot Water  - Wood,INDWOD,REFI-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,
REFI-PH-STM_HW-ELC-Boiler,New Refining - Process Heat: Steam/Hot Water  - Electricity,INDELC,REFI-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,1,,5,
UREA-FDSTCK-NGA-FDSTCK,New Urea - Urea production (feedstock)  - Natural Gas,NGA,UREA-FDSTCK,2018,2020,100,0.9,,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
WOOD-MoTP-Stat-DSL-st_ngn,"New Wood products - Motive Power, Stationary  - Diesel",INDDSL,WOOD-MoTP-Stat,2018,2020,20,0.5,0.35,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,0,,,
WOOD-MoTP-Stat-ELC-Motor,"New Wood products - Motive Power, Stationary  - Electricity",INDELC,WOOD-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,,,
WOOD-MoTP-Stat-PET-st_ngn,"New Wood products - Motive Power, Stationary  - Petrol",INDPET,WOOD-MoTP-Stat,2018,2020,15,0.5,0.35,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,0,,,
WOOD-MoTP-Stat-ELC-VSD-Mtr,"New Wood products - Motive Power, Stationary  - Electricity",INDELC,WOOD-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,,5,
WOOD-PH-FURN-NGA-Furn,New Wood products - Process Heat: Furnace/Kiln  - Natural Gas,INDNGA,WOOD-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.56,,5,
WOOD-PH-FURN-COA-Furn,New Wood products - Process Heat: Furnace/Kiln  - Coal,INDCOA,WOOD-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0,,5,
WOOD-PH-FURN-ELC-Furn,New Wood products - Process Heat: Furnace/Kiln  - Electricity,INDELC,WOOD-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,,,,
WOOD-PH-FURN-WOD-Furn,New Wood products - Process Heat: Furnace/Kiln  - Wood,INDWOD,WOOD-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0.24,,5,
,,INDOSWOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD-PH-FURN-LPG-Furn,New Wood products - Process Heat: Furnace/Kiln  - LPG,INDLPG,WOOD-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.07,,5,
WOOD-PH-STM_HW-NGA-Boiler,New Wood products - Process Heat: Steam/Hot Water  - Natural Gas,INDNGA,WOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,0.2,,5,
WOOD-PH-STM_HW-DSL-Boiler,New Wood products - Process Heat: Steam/Hot Water  - Diesel,INDDSL,WOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,,,,
WOOD-PH-STM_HW-FOL-Boiler,New Wood products - Process Heat: Steam/Hot Water  - Fuel Oil,INDFOL,WOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,,,,
WOOD-PH-STM_HW-ELC-HPmp,New Wood products - Process Heat: Steam/Hot Water  - Electricity,INDELC,WOOD-PH-STM_HW,2018,2020,20,0.5,0.35,31.536,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,0,,5,
WOOD-PH-STM_HW-COA-Boiler,New Wood products - Process Heat: Steam/Hot Water  - Coal,INDCOA,WOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
WOOD-PH-STM_HW-LPG-Boiler,New Wood products - Process Heat: Steam/Hot Water  - LPG,INDLPG,WOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,,,,
WOOD-PH-STM_HW-WOD-Boiler,New Wood products - Process Heat: Steam/Hot Water  - Wood,INDWOD,WOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,
,,INDOSWOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD-PH-STM_HW-ELC-Boiler,New Wood products - Process Heat: Steam/Hot Water  - Electricity,INDELC,WOOD-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,1,,5,
WOOD-PH-STM_HW-GEO-Heat,New Wood products - Process Heat: Steam/Hot Water  - Geothermal,INDGEO,WOOD-PH-STM_HW,2018,2020,10,0.5,0.35,31.536,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,100,100,100,100,100,100,100,100,100,100,0,0.1,5,
WOOD-Pump-ELC-Pump,New Wood products - Pumping  - Electricity,INDELC,WOOD-Pump,2018,2020,10,0.5,0.35,31.536,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,,,,
WOOD-Pump-DSL-Pump,New Wood products - Pumping  - Diesel,INDDSL,WOOD-Pump,2018,2020,10,0.5,0.35,31.536,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,462,462,462,462,462,462,462,462,462,462,,,,
WOOD-Fan-ELC-Fan,New Wood products - Fans  - Electricity,INDELC,WOOD-Fan,2018,2020,1,0.5,0.35,31.536,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,,,,
WOOD-Refin-ELC-Refinery,New Wood products - Refiners  - Electricity,INDELC,WOOD-Refin,2018,2020,10,1,0.7,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
WOOD-AIR-ELC-CMPR,New Wood products - Compressed Air  - Electricity,INDELC,WOOD-AIR,2018,2020,25,0.68,0.476,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
PLPPPR-MoTP-Stat-DSL-st_ngn,"New Wood pulp and paper - Motive Power, Stationary  - Diesel",INDDSL,PLPPPR-MoTP-Stat,2018,2020,20,0.5,0.35,31.536,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,455,455,455,455,455,455,455,455,455,455,0,,,
PLPPPR-MoTP-Stat-ELC-Motor,"New Wood pulp and paper - Motive Power, Stationary  - Electricity",INDELC,PLPPPR-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,280,280,280,280,280,280,280,280,280,280,,,,
PLPPPR-MoTP-Stat-PET-st_ngn,"New Wood pulp and paper - Motive Power, Stationary  - Petrol",INDPET,PLPPPR-MoTP-Stat,2018,2020,15,0.5,0.35,31.536,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,350,350,350,350,350,350,350,350,350,350,0,,,
PLPPPR-MoTP-Stat-ELCVSD-Mtr,"New Wood pulp and paper - Motive Power, Stationary  - Electricity",INDELC,PLPPPR-MoTP-Stat,2018,2020,10,0.5,0.35,31.536,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,336,336,336,336,336,336,336,336,336,336,0.5,,5,
PLPPPR-PH-DirH-ELC-Heater,New Wood pulp and paper - Process Heat: Direct Heat  - Electricity,INDELC,PLPPPR-PH-DirH,2018,2020,3,0.9,0.63,31.536,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,0.999700089973008,80,80,80,80,80,80,80,80,80,80,0.87,,5,
PLPPPR-PH-DirH-NGA-Burner,New Wood pulp and paper - Process Heat: Direct Heat  - Natural Gas,INDNGA,PLPPPR-PH-DirH,2018,2020,13,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,313,313,313,313,313,313,313,313,313,313,,,,
PLPPPR-PH-FURN-ELC-Furn,New Wood pulp and paper - Process Heat: Furnace/Kiln  - Electricity,INDELC,PLPPPR-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,,,,
PLPPPR-PH-FURN-NGA-Furn,New Wood pulp and paper - Process Heat: Furnace/Kiln  - Natural Gas,INDNGA,PLPPPR-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.56,,5,
PLPPPR-PH-FURN-COA-Furn,New Wood pulp and paper - Process Heat: Furnace/Kiln  - Coal,INDCOA,PLPPPR-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0,,5,
PLPPPR-PH-FURN-WOD-Furn,New Wood pulp and paper - Process Heat: Furnace/Kiln  - Wood,INDWOD,PLPPPR-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,63,63,63,63,63,63,63,63,63,63,0.24,,5,-5
PLPPPR-PH-FURN-LPG-Furn,New Wood pulp and paper - Process Heat: Furnace/Kiln  - LPG,INDLPG,PLPPPR-PH-FURN,2018,2020,25,0.9,0.63,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,63,63,63,63,63,63,63,63,63,63,0.07,,5,
PLPPPR-PH-STM_HW-NGA-Boiler,New Wood pulp and paper - Process Heat: Steam/Hot Water  - Natural Gas,INDNGA,PLPPPR-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,0.2,,5,
PLPPPR-PH-STM_HW-DSL-Boiler,New Wood pulp and paper - Process Heat: Steam/Hot Water  - Diesel,INDDSL,PLPPPR-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,,,,
PLPPPR-PH-STM_HW-FOL-Boiler,New Wood pulp and paper - Process Heat: Steam/Hot Water  - Fuel Oil,INDFOL,PLPPPR-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,300,300,300,300,300,300,300,300,300,300,,,,
PLPPPR-PH-STM_HW-GEO-Heat,New Wood pulp and paper - Process Heat: Steam/Hot Water  - Geothermal,INDGEO,PLPPPR-PH-STM_HW,2018,2020,10,0.5,0.35,31.536,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,0.970124,100,100,100,100,100,100,100,100,100,100,0,0.01,5,
PLPPPR-PH-STM_HW-ELC-HPmp,New Wood pulp and paper - Process Heat: Steam/Hot Water  - Electricity,INDELC,PLPPPR-PH-STM_HW,2018,2020,20,0.5,0.35,31.536,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,1071.42857142857,0,,5,
PLPPPR-PH-STM_HW-COA-Boiler,New Wood pulp and paper - Process Heat: Steam/Hot Water  - Coal,INDCOA,PLPPPR-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,750,750,750,750,750,750,750,750,750,750,0,,,
PLPPPR-PH-STM_HW-LPG-Boiler,New Wood pulp and paper - Process Heat: Steam/Hot Water  - LPG,INDLPG,PLPPPR-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,350,350,350,350,350,350,350,350,350,350,,,,
PLPPPR-PH-STM_HW-WOD-Boiler,New Wood pulp and paper - Process Heat: Steam/Hot Water  - Wood,INDWOD,PLPPPR-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,-5
PLPPPR-PH-STM_HW-ELC-Boiler,New Wood pulp and paper - Process Heat: Steam/Hot Water  - Electricity,INDELC,PLPPPR-PH-STM_HW,2018,2020,25,0.5,0.35,31.536,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,370.494333333333,370.494333333333,250,250,250,250,250,250,250,250,1,,5,
PLPPPR-Pump-ELC-Pump,New Wood pulp and paper - Pumping  - Electricity,INDELC,PLPPPR-Pump,2018,2020,10,0.5,0.35,31.536,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,,,,
PLPPPR-Pump-DSL-Pump,New Wood pulp and paper - Pumping  - Diesel,INDDSL,PLPPPR-Pump,2018,2020,10,0.5,0.35,31.536,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,462,462,462,462,462,462,462,462,462,462,,,,
PLPPPR-Fan-ELC-Fan,New Wood pulp and paper - Fans  - Electricity,INDELC,PLPPPR-Fan,2018,2020,1,0.5,0.35,31.536,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,43.4339175556657,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,404.591641485669,,,,
PLPPPR-Refin-ELC-REF,New Wood pulp and paper - Refiners  - Electricity,INDELC,PLPPPR-Refin,2018,2020,10,1,0.7,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
PLPPPR-AIR-ELC-CMPR,New Wood pulp and paper - Compressed Air  - Electricity,INDELC,PLPPPR-AIR,2018,2020,25,0.68,0.476,31.536,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,
